canonical_smiles,molecule_chembl_id,pIC50,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
CCCC(CCC)CN1CCN(C(=O)NCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,CHEMBL1203071,9.886056647693163,=,=,IC50,nM,0.13,IC50,nM,0.13
C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC,CHEMBL265345,5.568636235841013,=,=,IC50,nM,2700.0,IC50,uM,2.7
CSc1ccc2c(c1)N(S(C)(=O)=O)CC2CCl,CHEMBL327623,3.6989700043360187,>,>,IC50,nM,200000.0,IC50,uM,200.0
CN1C(=O)CCC2(C)c3ccc(Cl)cc3CCC12,CHEMBL279417,7.489991487059766,=,=,IC50,nM,32.36,Log 1/IC50,,7.49
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,CHEMBL69129,5.522878745280337,=,=,IC50,nM,3000.0,IC50,uM,3.0
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCC(N2CCCCC2)CC1,CHEMBL1203072,8.006123085058789,=,=,IC50,nM,9.86,IC50,nM,9.86
Oc1nc(-c2ccc(CCN3CCN(c4cccc5ccccc45)CC3)cc2)cs1,CHEMBL55055,7.187086643357144,=,=,IC50,nM,65.0,IC50,nM,65.0
O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,CHEMBL126380,7.552841968657781,=,=,IC50,nM,28.0,IC50,nM,28.0
CCCC(NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC1CC1,CHEMBL264623,5.154901959985743,=,=,IC50,nM,7000.0,IC50,uM,7.0
CCCC[C@H](NC(=O)[C@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC1(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)O,CHEMBL2372209,8.291579099865288,=,=,IC50,nM,5.11,IC50,nM,5.11
CCc1cc(NCc2cc3cnccc3o2)c(O)nc1C,CHEMBL123735,4.489999942195333,=,=,IC50,nM,32359.37,Log IC50,,-4.49
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,6.356547323513812,=,=,IC50,nM,440.0,IC50,uM,0.44
CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(OCc4ccc(CC(=O)O)cc4)c(Cl)c3Cl)nn2C)CC1,CHEMBL106951,6.221848749616356,=,=,IC50,nM,600.0,IC50,uM,0.6
